Bill of Material for ,,,,
On 2022/1/25 at 16:34:40,,,,
,,,,
Comment,Pattern,Quantity,Components,
,,,,
0.1uf,Cap-0603,14,"C3, C4, C7, C8, C9, C10, C11, C12, C13, C14, C15, C19, C20, C22",贴片陶瓷电容
10K,Res-0603,1,R5,贴片电阻
10K,Res-0603-M,2,"R2, R6",贴片电阻
10nf,Cap-0603,1,C21,贴片陶瓷电容
2.2nf,Cap-0603,1,C18,贴片陶瓷电容
2.2uf,Cap-0603,2,"C16, C17",贴片陶瓷电容
220uf,CAPE_D_6.3X6.6X5.4,4,"C1, C2, C5, C6",贴片电解电容
330R,Res-0603-M,1,R1,贴片电阻
4.7K,Res-0603-M,2,"R3, R4",贴片电阻
8MHz,XTAL-3215-3P,1,X1,3脚无源晶振
AMS1117-3.3,AMS1117,2,"IC1, IC2",
BMP280,BMP280 LGA8,1,IC4,气压传感器
GPS,Header 2.54X6,1,P8,
LED_SMD_GREEN,LED_0603_G,1,D1,发光二极管
MPU-6050,QFN24 4X4_N,1,IC3,传感器
PWM1,Header 2.54X3,1,P1,
PWM2,Header 2.54X3,1,P2,
PWM3,Header 2.54X3,1,P3,
PWM4,Header 2.54X3,1,P4,
SBUS,Header 2.54X3,1,P7,
SS8050,SOT23-3L,1,Q1,高频放大-NPN型
STM32F405RGT6,LQFP64 10X10_L,1,U1,Flaah:256/RAM:48/IO:51
SWD,Header 2.54X4,1,P6,
UART1,Header 2.54X4,1,P5,
